retailer_code,SKU,barcode,available_stock,direct_url,country_id
1234,,,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-magnetic-rug-recuptex/?attribute_pa_dekens-maat=6-0-183,528
1234,,5425030834640,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-magnetic-rug-recuptex/?attribute_pa_dekens-maat=6-3-190,528
1234,,5407007530441,3,https://www.ruitersport-levade.nl/product/kentucky-horsewear-magnetic-rug-recuptex/?attribute_pa_dekens-maat=6-6-198,528
1234,,5407007530434,3,https://www.ruitersport-levade.nl/product/kentucky-horsewear-magnetic-rug-recuptex/?attribute_pa_dekens-maat=6-9-206,528
1234,,5407007530427,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-magnetic-rug-recuptex/?attribute_pa_dekens-maat=7-0-213,528
1234,,5407008892463,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-laarzentas-zwart/,528
1234,,5407008892449,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-captas-zwart/,528
1234,,5407008892456,-2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-captas-grijs/,528
1234,,5407008892432,4,https://www.ruitersport-levade.nl/product/kentucky-horsewear-captas-marineblauw/,528
1234,,5407007539444,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadelonderlegger-impact-equalizer-10mm/,528
1234,,5407007539475,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-correctie-impact-18mm/,528
1234,,,,https://www.ruitersport-levade.nl/product/kentucky-horsewer-parels-halster-goud/,528
1234,,5407008893293,1,https://www.ruitersport-levade.nl/product/kentucky-horsewer-parels-halster-goud/?attribute_pa_halster-maat=cob,528
1234,,5407008893309,2,https://www.ruitersport-levade.nl/product/kentucky-horsewer-parels-halster-goud/?attribute_pa_halster-maat=full,528
1234,,,,https://www.ruitersport-levade.nl/product/kentucky-horsewear-parels-halster-zilver/,528
1234,,5407008893286,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-parels-halster-zilver/?attribute_pa_halster-maat=cob,528
1234,,,,https://www.ruitersport-levade.nl/product/kentucky-horsewear-onderdeken-100grams/,528
1234,,,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-onderdeken-100grams/?attribute_pa_dekens-maat=6-0-183,528
1234,,5407008890483,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-onderdeken-100grams/?attribute_pa_maat=klowie-03c10c50990743199cc887aaacd3f88a0a0a026e,528
1234,,5407008890490,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-onderdeken-100grams/?attribute_pa_maat=klowie-2159a29c32f14c7ffd92d92af4310070aef0622f,528
1234,,5407008890506,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-onderdeken-100grams/?attribute_pa_maat=klowie-75c41cf137a9a31823a6e465d81658ce9077457c,528
1234,,,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-onderdeken-100grams/?attribute_pa_dekens-maat=7-0-213,528
1234,,,,https://www.ruitersport-levade.nl/product/kentucky-horsewear-staldeken-200grams-marineblauw/,528
1234,,,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-staldeken-200grams-marineblauw/?attribute_pa_dekens-maat=6-0-183,528
1234,,,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-staldeken-200grams-marineblauw/?attribute_pa_dekens-maat=6-3-190,528
